bathrooms;bedrooms;accommodates;cleaning_fee;entire_home/apt;private_room;beds;guests_included;monthly_price;zipcode;security_deposit;longitude;latitude;host_since_in_days;weekly_price;availability_90;availability_60;host_total_listings_count;availability_365;availability_30;price
1.0;1.0;2.0;20.0;0.0;1.0;1.0;1.0;1795.9999999999998;28004.000000000004;186.0;-3.699140476119045;40.42269380573773;241.0;455.0;87.0;59.0;1.0;178.0;29.0;35.0
5.0;1.0;1.0;27.0;0.0;1.0;1.0;1.0;1176.0;28013.0;200.0;-3.706273274571508;40.41644740435694;732.0;294.0;10.0;0.0;38.0;10.0;0.0;21.0
1.0;1.0;2.0;5.0;0.0;1.0;1.0;1.0;1030.0;28004.000000000004;190.0;-3.70245983712592;40.42456662163335;289.0;286.4;0.0;0.0;1.0;0.0;0.0;95.0
1.0;1.0;2.0;19.000000000000004;0.0;1.0;2.0;1.0;1180.0;28008.0;134.0;-3.713561276403473;40.42329029124789;199.0;535.0;90.0;60.0;30.0;365.0;30.0;22.0
1.0;3.0000000000000004;9.0;40.0;1.0;0.0;4.0;4.0;752.7999999999998;28013.078520122013;100.0;-3.702964436733928;40.435580738536174;1651.0;438.0;73.0;43.0;15.0;132.0;13.0;98.0
1.0;0.0;2.0;33.0;1.0;0.0;1.0;1.0;1668.0;28013.0;200.0;-3.709551583827218;40.41705426837771;1971.0;478.0;34.0;16.0;51.0;306.0;9.0;65.00000000000001
1.0;1.0;4.0;20.0;1.0;0.0;1.0;1.0;1173.0;28013.0;100.0;-3.700525768647052;40.41781723421785;552.0;488.00000000000006;85.0;55.0;2.0;85.0;25.0;95.0
1.0;1.0;2.0;28.6;0.0;1.0;1.0;1.0;1350.0;28012.000000000004;149.2;-3.704124433025956;40.41143742080653;428.0;348.20000000000005;0.0;0.0;1.0;0.0;0.0;60.0
1.0;1.0;2.0;35.0;1.0;0.0;1.0;1.0;1200.0;28004.000000000004;300.0;-3.7017381293633367;40.42480002321573;2477.0;385.0;28.0;12.0;10.0;28.0;5.0;60.0
1.0;1.0;1.0;17.000000000000004;0.0;1.0;1.0;1.0;1198.8;28033.0;170.0;-3.673124376555253;40.47732775572519;1491.0;292.0;90.0;60.0;1.0;365.0;30.0;77.0
2.0;2.0;4.0;40.0;1.0;0.0;2.0;1.0;2230.0;28005.0;176.0;-3.710651557896291;40.413326128427656;551.0;780.0;18.0;8.0;1.0;79.0;2.0;120.0
1.0;3.0000000000000004;4.0;30.0;1.0;0.0;4.0;1.0;983.2;28027.0;150.0;-3.637955881745112;40.44120415836502;589.0;414.6;49.00000000000001;19.0;2.0;49.0;7.0;60.0
1.0;0.0;2.0;25.0;1.0;0.0;1.0;1.0;1398.4;28004.000000000004;158.0;-3.699912022364898;40.425632389190056;1414.0;265.0;13.0;13.0;3.0000000000000004;18.0;4.0;43.0
1.0;1.0;1.0;31.800000000000004;0.0;1.0;1.0;1.0;1358.0;28045.0;141.0;-3.6968689281060687;40.39482096968235;208.00000000000003;228.0;0.0;0.0;1.0;157.0;0.0;11.0
