Host Response Rate;Host Listings Count;Host Total Listings Count;Zipcode;Latitude;Longitude;Accommodates;Bathrooms;Bedrooms;Beds;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Calculated host listings count;Reviews per Month;Host Since in Days;First Review in Days;Entire home/apt;Private room;Shared room;Square Meters
100.0;1.0;1.0;28004.0;40.42269380573773;-3.699140476119045;2;1.0;1.0;1.0;;35.0;;;;20.0;1;10;1;1125;29;59;87;178;0;;;;;;;;1.0;;241.0;;0;1;0;
50.0;38.0;38.0;28013.0;40.41644740435694;-3.706273274571508;1;5.0;1.0;1.0;;21.0;294.0;1176.0;200.0;;1;0;4;1125;0;0;10;10;0;;;;;;;;38.0;;732.0;;0;1;0;
;1.0;1.0;28004.0;40.42456662163335;-3.70245983712592;2;1.0;1.0;1.0;;95.0;;;;5.0;1;0;2;9;0;0;0;0;0;;;;;;;;1.0;;289.0;;0;1;0;
100.0;30.0;30.0;28008.0;40.42329029124789;-3.713561276403473;2;1.0;1.0;2.0;;22.0;;;;;1;0;2;1125;30;60;90;365;2;90.0;9.0;8.0;9.0;10.0;10.0;10.0;29.0;0.31;199.0;40.0;0;1;0;
97.0;15.0;15.0;;40.435580738536174;-3.702964436733928;9;1.0;3.0;4.0;;98.0;;;100.0;40.0;4;20;3;1125;13;43;73;132;2;80.0;7.0;9.0;10.0;10.0;8.0;9.0;11.0;0.38;1651.0;59.0;1;0;0;
94.0;51.0;51.0;28013.0;40.41705426837771;-3.709551583827218;2;1.0;0.0;1.0;;65.0;;;200.0;33.0;1;0;4;365;9;16;34;306;8;80.0;9.0;9.0;10.0;10.0;10.0;9.0;51.0;0.78;1971.0;267.0;1;0;0;
70.0;2.0;2.0;28013.0;40.41781723421785;-3.700525768647052;4;1.0;1.0;1.0;;95.0;;;100.0;20.0;1;20;2;30;25;55;85;85;6;97.0;10.0;10.0;10.0;10.0;10.0;10.0;2.0;0.37;552.0;327.0;1;0;0;
;1.0;1.0;28012.0;40.41143742080653;-3.704124433025956;2;1.0;1.0;1.0;;60.0;;;;;1;0;1;1125;0;0;0;0;0;;;;;;;;1.0;;428.0;;0;1;0;
98.0;10.0;10.0;28004.0;40.42480002321573;-3.7017381293633367;2;1.0;1.0;1.0;484.0;60.0;385.0;1200.0;300.0;35.0;1;0;2;1000;5;12;28;28;108;88.0;9.0;9.0;10.0;9.0;10.0;9.0;9.0;2.32;2477.0;1387.0;1;0;0;44.965052
;1.0;1.0;28033.0;40.47732775572519;-3.673124376555253;1;1.0;1.0;1.0;0.0;77.0;;;;;1;0;1;1125;30;60;90;365;0;;;;;;;;1.0;;1491.0;;0;1;0;0.0
